file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,d559e6a5,Eeshi Uppalapati,2025-01-25,15:43:05,-08:00,2025-01-25T15:43:05-08:00,0,0
style.css,50,css,66cc7ad8,Eeshi Uppalapati,2025-01-16,18:19:36,-05:00,2025-01-16T18:19:36-05:00,0,12
style.css,51,css,66cc7ad8,Eeshi Uppalapati,2025-01-16,18:19:36,-05:00,2025-01-16T18:19:36-05:00,0,46
style.css,52,css,687474a7,Eeshi Uppalapati,2025-01-24,12:43:12,-08:00,2025-01-24T12:43:12-08:00,0,43
style.css,53,css,8407a0b7,Eeshi Uppalapati,2025-01-16,18:31:54,-05:00,2025-01-16T18:31:54-05:00,0,0
style.css,54,css,8407a0b7,Eeshi Uppalapati,2025-01-16,18:31:54,-05:00,2025-01-16T18:31:54-05:00,0,0
style.css,55,css,8407a0b7,Eeshi Uppalapati,2025-01-16,18:31:54,-05:00,2025-01-16T18:31:54-05:00,0,5
style.css,56,css,8407a0b7,Eeshi Uppalapati,2025-01-16,18:31:54,-05:00,2025-01-16T18:31:54-05:00,0,8
style.css,57,css,8407a0b7,Eeshi Uppalapati,2025-01-16,18:31:54,-05:00,2025-01-16T18:31:54-05:00,0,7
style.css,58,css,92c8b97e,Eeshi Uppalapati,2025-01-16,18:32:02,-05:00,2025-01-16T18:32:02-05:00,0,13
style.css,59,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,0
style.css,60,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,0
style.css,61,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,5
style.css,62,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,13
style.css,63,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,31
style.css,64,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,8
style.css,65,css,25afee02,Eeshi Uppalapati,2025-01-16,19:25:36,-05:00,2025-01-16T19:25:36-05:00,0,19
style.css,66,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,0
style.css,67,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,0
style.css,68,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,11
style.css,69,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,13
style.css,70,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,30
style.css,71,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,19
style.css,72,css,25afee02,Eeshi Uppalapati,2025-01-16,19:25:36,-05:00,2025-01-16T19:25:36-05:00,0,19
style.css,73,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,0
style.css,74,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,0
style.css,75,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,10
style.css,76,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,13
style.css,77,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,12
style.css,78,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,14
style.css,79,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,11
style.css,80,css,9e942b57,Eeshi Uppalapati,2025-01-16,18:42:05,-05:00,2025-01-16T18:42:05-05:00,0,22
style.css,81,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,0
style.css,82,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,0
style.css,83,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,12
style.css,84,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,19
style.css,85,css,83f52af5,Eeshi Uppalapati,2025-01-16,18:48:53,-05:00,2025-01-16T18:48:53-05:00,0,20
style.css,86,css,fdb7e2f6,Eeshi Uppalapati,2025-01-16,18:58:11,-05:00,2025-01-16T18:58:11-05:00,0,0
style.css,87,css,fdb7e2f6,Eeshi Uppalapati,2025-01-16,18:58:11,-05:00,2025-01-16T18:58:11-05:00,0,0
style.css,88,css,fdb7e2f6,Eeshi Uppalapati,2025-01-16,18:58:11,-05:00,2025-01-16T18:58:11-05:00,0,10
style.css,89,css,fdb7e2f6,Eeshi Uppalapati,2025-01-16,18:58:11,-05:00,2025-01-16T18:58:11-05:00,0,13
style.css,90,css,fdb7e2f6,Eeshi Uppalapati,2025-01-16,18:58:11,-05:00,2025-01-16T18:58:11-05:00,0,59
style.css,91,css,31a507a1,Eeshi Uppalapati,2025-01-16,19:13:28,-05:00,2025-01-16T19:13:28-05:00,0,12
style.css,92,css,da7ddb4d,Eeshi Uppalapati,2025-01-16,19:05:48,-05:00,2025-01-16T19:05:48-05:00,0,12
style.css,93,css,da7ddb4d,Eeshi Uppalapati,2025-01-16,19:05:48,-05:00,2025-01-16T19:05:48-05:00,0,14
style.css,94,css,5a07f359,Eeshi Uppalapati,2025-01-16,19:08:22,-05:00,2025-01-16T19:08:22-05:00,0,0
